transaction_id,customer_id,product_id,order_date,order_value,payment_method,device_type,discount_applied,shipping_delay_days,fraud_label
TXN0000083,CUST006526,PROD00302,2019-02-20,485.66,Debit Card,Desktop,0.17,0,0
TXN0000084,CUST002387,PROD00933,2021-04-28,75.39,Crypto,Mobile,0.03,10,0
TXN0000085,CUST012583,PROD01013,2021-03-29,365.28,Debit Card,Tablet,0.16,3,0
TXN0000086,CUST024608,PROD01763,2023-04-27,826.38,UPI,Mobile,0.16,1,0
TXN0000087,CUST022804,PROD01061,2021-08-09,73.52,Crypto,Mobile,0.36,0,0
TXN0000088,CUST003977,PROD00935,2019-10-01,641.91,Crypto,Tablet,0.32,7,0
TXN0000089,CUST024749,PROD01826,2021-06-25,230.8,Crypto,Desktop,0.44,9,0
TXN0000090,CUST017953,PROD00914,2024-01-12,60.97,UPI,Desktop,0.24,2,0
TXN0000091,CUST008102,PROD01721,2022-07-29,581.43,Crypto,Desktop,0.06,4,0
TXN0000092,CUST008999,PROD00901,2019-06-08,335.16,Debit Card,Desktop,0.36,4,0
TXN0000093,CUST017700,PROD00166,2019-10-11,221.09,Debit Card,Desktop,0.38,2,0
TXN0000094,CUST023148,PROD00439,2019-05-12,327.64,UPI,Desktop,0.28,6,0
TXN0000095,CUST013625,PROD00128,2020-02-28,425.93,UPI,Tablet,0.39,6,0
TXN0000096,CUST000641,PROD01755,2023-12-09,419.92,UPI,Desktop,0.25,9,1
TXN0000097,CUST011527,PROD00612,2023-03-24,554.5,UPI,Tablet,0.26,6,0
TXN0000098,CUST017896,PROD01639,2022-05-20,134.62,UPI,Mobile,0.21,3,0
TXN0000099,CUST015914,PROD00060,2021-03-07,385.9,UPI,Tablet,0.01,5,0
TXN0000100,CUST015316,PROD01884,2019-09-19,553.71,Crypto,Mobile,0.05,9,0
TXN0000101,CUST019396,PROD01156,2022-09-19,692.48,Credit Card,Tablet,0.02,0,0
TXN0000102,CUST015129,PROD00373,2019-04-13,65.3,UPI,Desktop,0.32,4,0
TXN0000103,CUST010711,PROD00692,2023-04-08,737.89,PayPal,Desktop,0.16,6,0
TXN0000104,CUST002684,PROD00964,2019-02-09,627.49,Credit Card,Desktop,0.25,8,0
TXN0000105,CUST002249,PROD01600,2024-05-14,431.34,Credit Card,Mobile,0.45,10,0
TXN0000106,CUST006533,PROD01719,2019-02-11,596.66,Debit Card,Mobile,0.12,9,0
TXN0000107,CUST021937,PROD00235,2022-03-01,268.54,UPI,Tablet,0.21,3,0
TXN0000108,CUST012088,PROD00344,2022-05-25,514.46,Credit Card,Mobile,0.38,9,0
TXN0000109,CUST003543,PROD01186,2019-02-22,557.03,Crypto,Tablet,0.11,4,0
TXN0000110,CUST012299,PROD00813,2024-04-12,373.04,Credit Card,Tablet,0.04,3,0
TXN0000111,CUST020554,PROD00498,2019-07-28,323.7,Crypto,Mobile,0.14,4,0
TXN0000112,CUST018545,PROD01603,2019-03-26,75.87,Crypto,Desktop,0.08,5,0
TXN0000113,CUST002260,PROD01037,2022-08-19,319.42,Credit Card,Desktop,0.46,5,0
TXN0000114,CUST003459,PROD00888,2024-05-21,528.46,UPI,Tablet,0.4,5,0
TXN0000115,CUST005772,PROD01503,2021-12-04,500.44,PayPal,Tablet,0.32,10,0
TXN0000116,CUST017635,PROD01587,2021-09-17,259.52,UPI,Tablet,0.44,7,0
TXN0000117,CUST010562,PROD01745,2020-05-17,421.55,PayPal,Desktop,0.4,1,0
TXN0000118,CUST015228,PROD01168,2022-06-03,731.3,UPI,Desktop,0.09,10,1
TXN0000119,CUST010651,PROD00373,2021-09-25,52.82,PayPal,Desktop,0.45,3,0
TXN0000120,CUST019535,PROD01437,2023-12-08,605.54,Crypto,Mobile,0.27,4,0
TXN0000121,CUST006261,PROD00176,2020-05-09,282.81,UPI,Tablet,0.4,6,0
TXN0000122,CUST022630,PROD00976,2022-08-15,496.34,UPI,Mobile,0.45,7,0
TXN0000123,CUST007262,PROD00829,2022-11-17,390.9,PayPal,Tablet,0.16,3,0
TXN0000124,CUST015508,PROD01134,2021-12-23,544.09,UPI,Tablet,0.06,5,0
TXN0000125,CUST011529,PROD01440,2021-07-18,40.12,PayPal,Desktop,0.11,4,0
TXN0000126,CUST023636,PROD00395,2020-10-08,501.22,Crypto,Tablet,0.21,1,0
TXN0000127,CUST007091,PROD01513,2021-09-18,253.33,Crypto,Tablet,0.41,4,0
TXN0000128,CUST003295,PROD01706,2020-02-02,360.59,Debit Card,Desktop,0.43,4,0
TXN0000129,CUST000464,PROD01451,2021-12-29,785.48,PayPal,Mobile,0.0,2,0
TXN0000130,CUST018133,PROD00599,2022-11-29,34.38,UPI,Mobile,0.26,2,0
TXN0000131,CUST018811,PROD00583,2021-08-19,19.04,UPI,Desktop,0.21,7,0
TXN0000132,CUST001684,PROD00518,2024-04-11,537.2,Credit Card,Mobile,0.11,7,0
TXN0000133,CUST002428,PROD01182,2022-07-13,325.17,Credit Card,Mobile,0.06,10,0
TXN0000134,CUST018444,PROD01944,2020-09-14,445.82,Debit Card,Mobile,0.17,1,0
TXN0000135,CUST013638,PROD01242,2022-05-05,100.59,Debit Card,Tablet,0.47,9,0
TXN0000136,CUST014508,PROD00609,2023-10-28,542.37,UPI,Desktop,0.16,9,0
TXN0000137,CUST001974,PROD01249,2024-05-20,8.76,Debit Card,Tablet,0.26,1,0
TXN0000138,CUST021641,PROD00167,2019-11-18,633.44,Debit Card,Tablet,0.35,3,0
TXN0000139,CUST000088,PROD00837,2021-07-11,695.14,UPI,Desktop,0.18,9,1
TXN0000140,CUST009441,PROD01448,2020-08-02,27.09,Credit Card,Tablet,0.49,7,0
TXN0000141,CUST008669,PROD01614,2023-06-09,144.36,Crypto,Tablet,0.48,10,0
TXN0000142,CUST006483,PROD00871,2019-08-24,730.92,Debit Card,Tablet,0.13,8,0
TXN0000143,CUST008705,PROD01693,2019-10-19,462.09,Credit Card,Mobile,0.25,1,0
TXN0000144,CUST019499,PROD01534,2023-08-16,231.9,PayPal,Desktop,0.15,9,0
TXN0000145,CUST022567,PROD00623,2022-12-04,41.25,PayPal,Tablet,0.14,6,0
TXN0000146,CUST014345,PROD00165,2022-05-09,275.37,UPI,Tablet,0.02,0,0
TXN0000147,CUST008205,PROD00053,2019-07-07,471.64,Crypto,Tablet,0.3,3,0
TXN0000148,CUST022030,PROD01683,2020-07-05,369.25,Credit Card,Mobile,0.25,9,0
TXN0000149,CUST021349,PROD00906,2024-02-20,294.2,Debit Card,Tablet,0.03,4,0
TXN0000150,CUST016113,PROD01985,2019-07-06,680.37,PayPal,Desktop,0.14,7,0
TXN0000151,CUST021959,PROD00215,2023-10-23,118.46,PayPal,Desktop,0.45,2,0
TXN0000152,CUST009445,PROD01357,2024-04-19,594.41,Crypto,Mobile,0.12,6,0
TXN0000153,CUST010307,PROD00517,2020-10-24,44.83,UPI,Tablet,0.07,1,0
TXN0000154,CUST000038,PROD01347,2023-11-16,502.46,UPI,Desktop,0.24,8,0
TXN0000155,CUST016989,PROD00741,2022-06-29,359.64,UPI,Mobile,0.49,7,0
TXN0000156,CUST017997,PROD00269,2024-03-14,375.77,UPI,Tablet,0.12,4,0
TXN0000157,CUST000946,PROD01994,2022-07-14,381.42,Debit Card,Tablet,0.34,9,0
TXN0000158,CUST018050,PROD00029,2022-02-05,194.95,Credit Card,Mobile,0.38,6,0
TXN0000159,CUST003718,PROD00946,2024-04-23,809.54,Debit Card,Desktop,0.12,1,0
TXN0000160,CUST009564,PROD01043,2022-12-15,431.69,UPI,Desktop,0.36,4,0
TXN0000161,CUST007987,PROD00936,2022-02-02,801.48,UPI,Mobile,0.18,2,0
TXN0000162,CUST016655,PROD01529,2023-12-06,471.38,Credit Card,Desktop,0.32,2,0
TXN0000163,CUST013597,PROD00697,2024-03-28,559.63,PayPal,Mobile,0.32,8,0
TXN0000164,CUST009784,PROD01716,2022-04-17,642.72,UPI,Mobile,0.27,9,0
TXN0000165,CUST015871,PROD00707,2020-11-11,83.65,Crypto,Desktop,0.05,8,0
TXN0000166,CUST010545,PROD01781,2020-01-22,470.75,Crypto,Desktop,0.42,3,0
TXN0000167,CUST013461,PROD00090,2020-10-13,591.33,UPI,Desktop,0.16,7,0
TXN0000168,CUST021366,PROD00312,2021-10-11,480.53,Debit Card,Tablet,0.09,0,0
TXN0000169,CUST010879,PROD01782,2019-07-25,162.33,Credit Card,Tablet,0.02,7,0
TXN0000170,CUST000503,PROD01480,2019-10-23,548.46,Debit Card,Mobile,0.3,6,0
TXN0000171,CUST008685,PROD00694,2022-06-30,510.28,Credit Card,Desktop,0.34,6,0
TXN0000172,CUST017486,PROD00779,2024-05-08,117.73,UPI,Tablet,0.01,5,0
TXN0000173,CUST002243,PROD00481,2022-07-16,717.84,PayPal,Mobile,0.26,10,0
TXN0000174,CUST014221,PROD00202,2023-04-07,83.0,Credit Card,Desktop,0.11,10,0
TXN0000175,CUST009813,PROD01851,2019-03-01,179.35,PayPal,Mobile,0.32,0,0
TXN0000176,CUST012283,PROD00883,2019-10-26,870.89,Crypto,Desktop,0.09,3,0
TXN0000177,CUST005901,PROD00349,2019-12-25,576.26,Crypto,Desktop,0.35,1,0
TXN0000178,CUST007892,PROD01020,2024-02-13,66.09,Debit Card,Mobile,0.19,9,0
TXN0000179,CUST008323,PROD00942,2020-06-06,119.76,Credit Card,Desktop,0.47,10,0
TXN0000180,CUST022204,PROD01120,2019-11-20,358.87,UPI,Desktop,0.07,1,0
TXN0000181,CUST009803,PROD01309,2024-05-24,822.02,PayPal,Desktop,0.17,6,0
TXN0000182,CUST006528,PROD00788,2023-10-14,399.42,Credit Card,Mobile,0.06,7,0
TXN0000183,CUST011763,PROD01178,2020-08-28,431.62,Credit Card,Tablet,0.46,4,0
TXN0000184,CUST000266,PROD01160,2023-11-07,301.43,Credit Card,Tablet,0.44,10,0
TXN0000185,CUST009379,PROD01589,2023-06-25,470.41,Crypto,Desktop,0.13,3,0
TXN0000186,CUST006231,PROD01272,2020-05-28,412.65,Debit Card,Tablet,0.33,10,0
TXN0000187,CUST020561,PROD01324,2019-03-22,236.41,UPI,Mobile,0.41,4,0
TXN0000188,CUST023998,PROD00270,2019-07-04,666.68,PayPal,Tablet,0.28,4,0
TXN0000189,CUST006580,PROD00271,2023-05-30,728.84,PayPal,Tablet,0.26,8,0
TXN0000190,CUST008931,PROD01701,2019-12-03,397.61,UPI,Desktop,0.12,4,0
TXN0000191,CUST011100,PROD01648,2019-08-24,414.7,Credit Card,Mobile,0.05,7,0
TXN0000192,CUST007393,PROD01762,2022-10-17,490.42,UPI,Tablet,0.45,10,0
TXN0000193,CUST012930,PROD00029,2020-06-25,172.94,Credit Card,Desktop,0.45,8,0
TXN0000194,CUST024544,PROD01377,2020-06-20,203.55,UPI,Tablet,0.32,9,0
TXN0000195,CUST003551,PROD01383,2020-04-23,89.57,Credit Card,Tablet,0.17,7,0
TXN0000196,CUST018397,PROD00672,2024-02-18,119.15,Debit Card,Tablet,0.17,9,0
TXN0000197,CUST015214,PROD01863,2022-12-06,275.05,UPI,Mobile,0.36,4,0
TXN0000198,CUST001220,PROD00624,2021-10-05,400.04,Credit Card,Mobile,0.45,1,0
TXN0000199,CUST004446,PROD00796,2021-07-18,327.2,Crypto,Desktop,0.44,5,0
TXN0000200,CUST023810,PROD00317,2023-12-19,533.46,Credit Card,Desktop,0.39,6,0
TXN0000201,CUST009167,PROD00068,2022-11-14,60.33,Debit Card,Desktop,0.32,5,0
TXN0000202,CUST007737,PROD01752,2021-01-12,84.3,PayPal,Tablet,0.04,1,0
TXN0000203,CUST021130,PROD00735,2019-05-05,391.4,PayPal,Mobile,0.08,6,0
TXN0000204,CUST014901,PROD00188,2022-09-19,119.3,Crypto,Mobile,0.45,3,1
TXN0000205,CUST010929,PROD00499,2019-09-15,423.8,Debit Card,Mobile,0.3,9,0
TXN0000206,CUST018161,PROD00425,2022-04-15,780.95,Debit Card,Desktop,0.0,3,0
TXN0000207,CUST019530,PROD00006,2020-07-21,178.12,Debit Card,Tablet,0.05,2,0
TXN0000208,CUST005718,PROD00226,2022-09-15,658.25,Debit Card,Mobile,0.33,0,0
TXN0000209,CUST007797,PROD01206,2020-10-25,91.58,Debit Card,Desktop,0.0,0,0
TXN0000210,CUST024305,PROD00863,2021-12-13,70.31,Credit Card,Desktop,0.08,1,0
TXN0000211,CUST011864,PROD01052,2022-04-30,314.24,UPI,Tablet,0.27,1,0
TXN0000212,CUST020156,PROD00089,2023-01-29,570.69,Crypto,Desktop,0.35,10,0
TXN0000213,CUST001021,PROD00125,2021-09-07,66.31,UPI,Tablet,0.33,6,0
TXN0000214,CUST023344,PROD01864,2021-06-27,572.16,Credit Card,Desktop,0.11,1,0
TXN0000215,CUST002153,PROD00259,2020-07-17,510.92,Crypto,Tablet,0.36,9,0
TXN0000216,CUST012482,PROD01224,2021-12-22,397.58,UPI,Tablet,0.12,4,0
TXN0000217,CUST003250,PROD01625,2022-12-08,168.59,Crypto,Tablet,0.16,1,0
TXN0000218,CUST014093,PROD00925,2023-12-24,509.0,UPI,Desktop,0.37,3,0
TXN0000219,CUST013066,PROD00852,2023-02-03,644.61,PayPal,Desktop,0.32,1,0
TXN0000220,CUST008353,PROD00767,2024-05-06,65.24,UPI,Mobile,0.42,2,0
TXN0000221,CUST002798,PROD00191,2021-06-03,346.0,PayPal,Mobile,0.33,1,0
TXN0000222,CUST019218,PROD01960,2022-02-24,483.06,PayPal,Tablet,0.28,8,0
TXN0000223,CUST011587,PROD01790,2022-09-24,355.41,Credit Card,Desktop,0.05,6,0
TXN0000224,CUST011523,PROD00213,2022-03-29,438.66,Debit Card,Mobile,0.18,8,0
TXN0000225,CUST007349,PROD01736,2019-08-10,330.88,Crypto,Desktop,0.13,5,0
TXN0000226,CUST009129,PROD01176,2020-04-08,133.36,Crypto,Tablet,0.12,6,0
TXN0000227,CUST021060,PROD01141,2019-02-23,390.42,PayPal,Mobile,0.49,9,0
TXN0000228,CUST023027,PROD01562,2020-09-24,241.42,PayPal,Mobile,0.2,5,0
TXN0000229,CUST004695,PROD01160,2022-09-08,296.04,Credit Card,Mobile,0.45,6,0
TXN0000230,CUST001005,PROD00188,2023-03-09,147.49,Debit Card,Desktop,0.32,8,0
TXN0000231,CUST011171,PROD00323,2021-01-27,432.27,PayPal,Tablet,0.4,4,0
TXN0000232,CUST001724,PROD00319,2019-11-19,316.26,Credit Card,Tablet,0.25,9,0
TXN0000233,CUST014520,PROD01356,2021-05-18,76.2,Crypto,Desktop,0.29,7,0
TXN0000234,CUST007064,PROD01547,2021-11-15,564.8,PayPal,Desktop,0.25,1,0
TXN0000235,CUST022224,PROD01390,2022-04-29,89.54,Crypto,Tablet,0.1,7,0
TXN0000236,CUST007226,PROD00810,2022-05-12,611.93,Credit Card,Mobile,0.36,0,0
TXN0000237,CUST006922,PROD01572,2019-10-09,647.88,PayPal,Desktop,0.14,4,0
TXN0000238,CUST016299,PROD01530,2021-05-31,133.71,Debit Card,Desktop,0.01,2,0
TXN0000239,CUST007541,PROD01025,2022-02-18,215.11,PayPal,Mobile,0.32,10,0
TXN0000240,CUST024316,PROD00087,2021-06-12,520.71,UPI,Mobile,0.09,0,0
TXN0000241,CUST018867,PROD00880,2022-03-20,403.98,UPI,Desktop,0.47,6,0
TXN0000242,CUST000684,PROD01979,2020-10-27,204.07,Crypto,Desktop,0.48,2,0
TXN0000243,CUST011858,PROD00181,2021-06-13,515.31,Debit Card,Desktop,0.46,1,0
TXN0000244,CUST017170,PROD00162,2021-03-21,509.83,PayPal,Mobile,0.19,4,0
TXN0000245,CUST005510,PROD00157,2021-11-11,225.21,Credit Card,Tablet,0.01,10,0
TXN0000246,CUST011449,PROD00720,2023-01-29,189.65,Debit Card,Mobile,0.46,10,0
TXN0000247,CUST008388,PROD00405,2019-12-22,132.57,Debit Card,Tablet,0.21,9,0
TXN0000248,CUST020577,PROD01012,2021-08-08,55.05,Crypto,Desktop,0.48,9,0
TXN0000249,CUST018498,PROD01317,2022-07-25,86.94,PayPal,Tablet,0.48,9,0
TXN0000250,CUST014411,PROD00140,2021-08-18,189.25,PayPal,Desktop,0.43,7,0
TXN0000251,CUST011533,PROD01040,2019-06-01,15.88,UPI,Desktop,0.15,4,0
TXN0000252,CUST012083,PROD01704,2020-08-10,782.82,Credit Card,Tablet,0.19,1,0
TXN0000253,CUST012599,PROD00948,2022-04-03,430.63,Credit Card,Desktop,0.43,8,0
TXN0000254,CUST018733,PROD01335,2020-01-21,639.54,Crypto,Desktop,0.16,5,0
TXN0000255,CUST002028,PROD00923,2019-07-31,489.45,Credit Card,Tablet,0.08,5,0
TXN0000256,CUST001283,PROD00508,2022-12-20,673.03,UPI,Tablet,0.28,7,0
TXN0000257,CUST005202,PROD00746,2021-02-02,315.49,UPI,Desktop,0.47,4,0
TXN0000258,CUST022247,PROD01225,2019-04-18,471.89,PayPal,Mobile,0.35,10,0
TXN0000259,CUST018284,PROD01390,2021-03-02,70.64,PayPal,Tablet,0.29,4,0
TXN0000260,CUST019750,PROD01789,2019-11-04,491.71,Credit Card,Tablet,0.05,5,0
TXN0000261,CUST011463,PROD00636,2024-06-04,142.46,UPI,Mobile,0.31,10,0
TXN0000262,CUST002777,PROD00635,2022-02-18,381.1,PayPal,Mobile,0.5,6,0
TXN0000263,CUST024209,PROD01404,2024-02-12,57.42,Credit Card,Tablet,0.07,8,0
TXN0000264,CUST016663,PROD00742,2019-02-07,181.8,PayPal,Mobile,0.26,5,0
TXN0000265,CUST011198,PROD01941,2023-04-19,472.49,Debit Card,Mobile,0.44,7,0
TXN0000266,CUST005078,PROD00159,2020-08-28,333.94,Crypto,Tablet,0.37,1,0
TXN0000267,CUST017254,PROD00078,2022-09-17,328.33,Crypto,Mobile,0.35,5,0
TXN0000268,CUST005055,PROD00333,2020-01-06,596.52,Debit Card,Tablet,0.35,9,0
TXN0000269,CUST013464,PROD00747,2022-10-17,68.53,UPI,Tablet,0.18,3,0
TXN0000270,CUST024529,PROD01606,2021-07-08,794.85,Crypto,Mobile,0.15,3,0
TXN0000271,CUST015369,PROD01852,2023-09-07,367.39,PayPal,Tablet,0.4,3,0
TXN0000272,CUST014438,PROD00946,2023-04-25,542.76,UPI,Tablet,0.41,4,0
TXN0000273,CUST005311,PROD01673,2020-02-13,26.39,Debit Card,Desktop,0.43,9,1
TXN0000274,CUST015748,PROD01791,2021-01-30,209.3,Credit Card,Tablet,0.46,8,0
TXN0000275,CUST004086,PROD00584,2019-06-21,104.65,PayPal,Desktop,0.26,2,0
TXN0000276,CUST004829,PROD01702,2021-06-14,251.82,Debit Card,Desktop,0.25,1,0
TXN0000277,CUST000874,PROD00850,2019-04-20,246.31,Crypto,Desktop,0.4,6,0
TXN0000278,CUST002675,PROD00768,2020-04-04,390.45,PayPal,Mobile,0.32,0,0
TXN0000279,CUST021298,PROD00687,2023-06-09,424.27,Debit Card,Mobile,0.35,2,0
TXN0000280,CUST015482,PROD01426,2023-08-30,350.3,UPI,Desktop,0.4,2,0
TXN0000281,CUST002597,PROD00039,2020-06-08,349.38,Debit Card,Tablet,0.45,3,0
TXN0000282,CUST019952,PROD01081,2021-05-16,347.52,PayPal,Mobile,0.17,1,0
TXN0000283,CUST001565,PROD00489,2021-05-09,809.53,Crypto,Desktop,0.19,10,1
TXN0000284,CUST016379,PROD01223,2022-01-02,797.98,Crypto,Tablet,0.05,0,0
TXN0000285,CUST004705,PROD00597,2021-05-29,50.64,Crypto,Desktop,0.29,0,0
TXN0000286,CUST013651,PROD00384,2022-09-22,850.6,Credit Card,Tablet,0.02,10,0
TXN0000287,CUST002218,PROD01953,2021-12-13,114.08,Crypto,Tablet,0.23,8,0
TXN0000288,CUST012795,PROD01789,2021-08-20,377.84,UPI,Desktop,0.27,0,0
